-,-,-
-597, -541, 583
-613, -600, 550
-614, -583, 584
-590, -549, 581
-590, -549, 581
-590, -558, 616
-608, -593, 605
-618, -626, 486
-647, -648, 469
-710, -708, 392
-777, -759, 413
-785, -746, 423
-782, -735, 447
-769, -736, 466
-728, -714, 477
-654, -677, 485
-654, -677, 485
-572, -658, 459
-524, -640, 480
-525, -632, 490
-499, -617, 532
-460, -575, 555
-424, -531, 598
-381, -473, 638
-343, -409, 641
-330, -383, 710
-319, -362, 768
-312, -333, 830
-312, -333, 830
-296, -323, 850
-296, -337, 827
-315, -348, 765
-322, -361, 734
-358, -366, 682
-383, -380, 602
-367, -434, 660
-326, -419, 561
-349, -434, 523
-391, -450, 476
-382, -452, 496
-382, -452, 496
-385, -410, 549
-424, -364, 593
-465, -343, 643
-447, -321, 674
-433, -318, 666
-453, -342, 637
-502, -353, 645
-529, -331, 688
-558, -325, 811
-556, -303, 855
-596, -323, 872
-646, -378, 878
-646, -378, 878
-717, -448, 892
-699, -397, 977
-690, -392, 1001
-675, -381, 996
-655, -363, 1004
-663, -329, 1063
-666, -298, 1136
-630, -268, 1189
-577, -244, 1171
-559, -229, 1111
-533, -193, 1092
-492, -164, 1074
-446, -132, 1086
-396, -87, 1071
-365, -78, 1017
-340, -88, 939
-343, -98, 879
-343, -98, 879
-347, -111, 875
-333, -115, 871
-311, -101, 866
-367, -119, 809
-406, -173, 799
-416, -220, 796
-405, -203, 741
-494, -266, 700
-605, -361, 643
-755, -630, 709
-755, -630, 709
-646, -194, 774
-653, -345, 824
-718, -418, 597
-786, -558, 631
-745, -479, 854
-338, -73, 635
-410, -133, 562
-513, -188, 742
-557, -351, 492
-722, -499, 711
-722, -499, 711
-831, -582, 1011
-924, -687, 869
-805, -451, 888
-699, -375, 1000
-667, -376, 947
-741, -515, 920
-799, -562, 937
-748, -471, 958
-706, -432, 980
-689, -446, 956
-694, -483, 929
-656, -456, 907
-578, -398, 894
-578, -398, 894
-492, -359, 800
-467, -373, 685
-489, -406, 657
-492, -378, 638
-475, -351, 647
-461, -352, 638
-462, -382, 595
-457, -392, 502
-434, -395, 461
-420, -393, 460
-406, -375, 475
-406, -375, 475
-386, -368, 493
-387, -390, 497
-388, -403, 470
-,-,-
-672, -593, 574
-651, -618, 543
-662, -632, 513
-619, -589, 529
-619, -589, 529
-593, -577, 485
-610, -606, 471
-650, -615, 447
-689, -644, 395
-741, -704, 353
-789, -734, 339
-778, -720, 335
-727, -694, 414
-663, -648, 454
-632, -630, 443
-614, -641, 436
-614, -641, 436
-580, -636, 479
-532, -586, 551
-507, -566, 631
-540, -593, 725
-574, -603, 750
-540, -576, 705
-389, -482, 623
-286, -374, 653
-299, -375, 809
-346, -415, 881
-341, -425, 860
-341, -425, 860
-292, -402, 798
-267, -393, 735
-278, -415, 701
-319, -462, 650
-373, -515, 603
-404, -540, 571
-417, -547, 546
-416, -532, 533
-412, -517, 523
-397, -505, 521
-373, -468, 512
-359, -434, 530
-359, -434, 530
-365, -409, 534
-393, -397, 563
-437, -396, 626
-483, -427, 659
-489, -453, 662
-486, -447, 662
-483, -410, 668
-496, -371, 725
-546, -411, 791
-549, -420, 783
-549, -397, 780
-549, -397, 780
-592, -409, 823
-619, -407, 870
-648, -451, 920
-692, -482, 957
-717, -458, 1034
-699, -422, 1067
-633, -382, 1069
-576, -354, 1052
-542, -322, 1067
-537, -307, 1081
-516, -304, 1070
-476, -270, 1027
-424, -234, 1005
-377, -192, 1011
-338, -180, 994
-304, -148, 937
-297, -130, 884
-333, -138, 902
-333, -138, 902
-369, -188, 919
-354, -196, 883
-330, -165, 821
-371, -192, 749
-487, -219, 788
-632, -393, 896
-651, -393, 791
-544, -299, 713
-551, -261, 654
-741, -495, 489
-757, -490, 570
-757, -490, 570
-744, -454, 591
-769, -544, 466
-751, -428, 721
-578, -205, 626
-755, -517, 119
-849, -601, 480
-805, -522, 605
-667, -386, 503
-667, -375, 590
-758, -488, 597
-870, -584, 549
-870, -584, 549
-931, -618, 556
-945, -606, 634
-951, -640, 625
-974, -677, 699
-980, -669, 705
-964, -655, 709
-907, -620, 749
-856, -605, 759
-808, -595, 754
-760, -555, 671
-736, -543, 611
-736, -543, 611
-713, -536, 623
-694, -538, 635
-672, -543, 600
-619, -512, 561
-590, -499, 504
-573, -500, 474
-553, -503, 483
-518, -483, 427
-481, -464, 389
-465, -461, 354
-456, -466, 353
-429, -458, 350
-429, -458, 350
-401, -444, 364
-414, -434, 357
-442, -462, 355
-469, -507, 340
-,-,-
-638, -677, 399
-672, -726, 384
-682, -731, 375
-665, -687, 376
-674, -698, 347
-674, -698, 347
-703, -742, 299
-708, -761, 259
-717, -772, 216
-713, -750, 170
-671, -688, 198
-660, -677, 259
-651, -662, 322
-652, -650, 353
-690, -693, 343
-690, -719, 332
-668, -714, 335
-668, -714, 335
-665, -735, 355
-632, -729, 392
-577, -683, 439
-564, -655, 491
-534, -607, 520
-466, -548, 562
-429, -527, 645
-411, -505, 684
-393, -479, 780
-391, -448, 783
-377, -420, 777
-377, -420, 777
-346, -403, 799
-334, -414, 784
-344, -431, 749
-358, -473, 681
-330, -509, 614
-281, -505, 527
-282, -496, 456
-358, -498, 436
-445, -503, 483
-491, -507, 529
-498, -498, 506
-437, -470, 484
-437, -470, 484
-364, -413, 471
-370, -420, 468
-472, -463, 488
-555, -478, 558
-525, -435, 649
-463, -394, 678
-464, -371, 676
-518, -367, 689
-596, -420, 799
-673, -464, 851
-729, -497, 884
-729, -497, 884
-753, -487, 936
-742, -493, 997
